   Position (m)       Function
0.009901 0.003201 -0.033125 -0.045867
0.019802 0.018797 0.136502 -0.012799
0.029703 0.005106 0.041245 0.058353
0.039604 0.010637 0.033984 -0.097374
0.049505 0.061022 0.194110 -0.152787
0.059406 0.069596 0.255396 -0.066097
0.069307 0.034235 0.179806 -0.043639
0.079208 0.036574 0.140370 -0.129887
0.089109 0.078111 0.210034 -0.184384
0.099010 0.099853 0.292433 -0.119731
0.108911 0.084828 0.291200 -0.005509
0.118812 0.056465 0.234028 0.041181
0.128713 0.049907 0.223194 -0.009585
0.138614 0.107122 0.314501 -0.090617
0.148515 0.235192 0.468188 -0.126462
0.158416 0.373817 0.602095 -0.106296
0.168317 0.457651 0.672294 -0.075308
0.178218 0.497729 0.701705 -0.073066
0.188119 0.561056 0.743803 -0.088392
0.198020 0.689317 0.827338 -0.069490
0.207921 0.870817 0.932761 0.027822
0.217822 1.066961 1.013476 0.199570
0.227723 1.228049 1.036318 0.392547
0.237624 1.302312 1.005879 0.538999
0.247525 1.272509 0.956549 0.597933
0.257426 1.182447 0.923359 0.574330
0.267327 1.097426 0.916361 0.507649
0.277228 1.036386 0.916749 0.442671
0.287129 0.964046 0.894760 0.404291
0.297030 0.848699 0.834302 0.390691
0.306931 0.705296 0.746548 0.384659
0.316832 0.579080 0.664137 0.371486
0.326733 0.508412 0.621032 0.350330
0.336634 0.509759 0.631609 0.332911
0.346535 0.575636 0.681799 0.332844
0.356436 0.668566 0.736839 0.354450
0.366337 0.729230 0.760278 0.388853
0.376238 0.713373 0.733130 0.419398
0.386139 0.626241 0.662923 0.432173
0.396040 0.515180 0.578692 0.424612
0.405941 0.431286 0.515472 0.406908
0.415842 0.403463 0.496806 0.395787
0.425743 0.438321 0.523952 0.404716
0.435644 0.522772 0.576438 0.436453
0.445545 0.620309 0.622878 0.482008
0.455446 0.681730 0.636290 0.526179
0.465347 0.677154 0.606600 0.556050
0.475248 0.618798 0.544827 0.567416
0.485149 0.547987 0.477515 0.565655
0.495050 0.503247 0.434286 0.560930
0.504950 0.503247 0.434286 0.560930
0.514851 0.547987 0.477515 0.565655
0.524752 0.618798 0.544827 0.567416
0.534653 0.677154 0.606600 0.556050
0.544554 0.681730 0.636290 0.526179
0.554455 0.620309 0.622878 0.482008
0.564356 0.522772 0.576438 0.436453
0.574257 0.438321 0.523952 0.404716
0.584158 0.403463 0.496806 0.395787
0.594059 0.431286 0.515472 0.406908
0.603960 0.515180 0.578692 0.424612
0.613861 0.626241 0.662923 0.432173
0.623762 0.713373 0.733130 0.419398
0.633663 0.729230 0.760278 0.388853
0.643564 0.668566 0.736839 0.354450
0.653465 0.575636 0.681799 0.332844
0.663366 0.509759 0.631609 0.332911
0.673267 0.508412 0.621032 0.350330
0.683168 0.579080 0.664137 0.371486
0.693069 0.705296 0.746548 0.384659
0.702970 0.848699 0.834302 0.390691
0.712871 0.964046 0.894760 0.404291
0.722772 1.036386 0.916749 0.442671
0.732673 1.097426 0.916361 0.507649
0.742574 1.182447 0.923359 0.574330
0.752475 1.272509 0.956549 0.597933
0.762376 1.302312 1.005879 0.538999
0.772277 1.228049 1.036318 0.392547
0.782178 1.066961 1.013476 0.199570
0.792079 0.870817 0.932761 0.027822
0.801980 0.689317 0.827338 -0.069490
0.811881 0.561056 0.743803 -0.088392
0.821782 0.497729 0.701705 -0.073066
0.831683 0.457651 0.672294 -0.075308
0.841584 0.373817 0.602095 -0.106296
0.851485 0.235192 0.468188 -0.126462
0.861386 0.107122 0.314501 -0.090617
0.871287 0.049907 0.223194 -0.009585
0.881188 0.056465 0.234028 0.041181
0.891089 0.084828 0.291200 -0.005509
0.900990 0.099853 0.292433 -0.119731
0.910891 0.078111 0.210034 -0.184384
0.920792 0.036574 0.140370 -0.129887
0.930693 0.034235 0.179806 -0.043639
0.940594 0.069596 0.255396 -0.066097
0.950495 0.061022 0.194110 -0.152787
0.960396 0.010637 0.033984 -0.097374
0.970297 0.005106 0.041245 0.058353
0.980198 0.018797 0.136502 -0.012799
0.990099 0.003201 -0.033125 -0.045867
